Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;7988,257142857144;7729,657142857142;0,0;258,57142857142856
5;7930,471428571429;7718,571428571428;0,0;211,91428571428574
10;7861,0;7706,242857142856;0,0;154,77142857142857
15;7782,5428571428565;7687,3;0,0;95,22857142857143
20;7704,685714285714;7668,971428571429;0,0;35,714285714285715
25;7658,728571428571;7646,814285714286;0,0;11,9
30;7618,485714285714;7618,485714285714;0,0;0,0
35;7583,871428571429;7583,871428571429;0,0;0,0
40;7547,271428571429;7547,271428571429;0,0;0,0
45;7511,071428571428;7511,071428571428;0,0;0,0
50;7472,614285714286;7472,614285714286;0,0;0,0
55;7433,742857142856;7433,742857142856;0,0;0,0
60;7388,528571428571;7388,528571428571;0,0;0,0
65;7338,7;7338,7;0,0;0,0
70;7282,242857142856;7282,242857142856;0,0;0,0
75;7222,042857142857;7222,042857142857;0,0;0,0
80;7157,542857142857;7157,542857142857;0,0;0,0
85;7089,685714285714;7089,685714285714;0,0;0,0
90;7019,157142857142;7019,157142857142;0,0;0,0
95;6947,314285714287;6947,314285714287;0,0;0,0
100;6872,242857142858;6872,242857142858;0,0;0,0
105;6792,614285714286;6792,614285714286;0,0;0,0
110;6707,857142857143;6707,857142857143;0,0;0,0
115;6620,357142857143;6620,357142857143;0,0;0,0
120;6533,5142857142855;6533,5142857142855;0,0;0,0
125;6444,885714285715;6444,885714285715;0,0;0,0
130;6355,257142857142;6355,257142857142;0,0;0,0
135;6265,285714285715;6265,285714285715;0,0;0,0
140;6175,0428571428565;6175,0428571428565;0,0;0,0
145;6085,0428571428565;6085,0428571428565;0,0;0,0
150;5991,428571428572;5991,428571428572;0,0;0,0
155;5893,0428571428565;5893,0428571428565;0,0;0,0
160;5789,028571428571;5789,028571428571;0,0;0,0
165;5682,642857142857;5682,642857142857;0,0;0,0
170;5577,3;5577,3;0,0;0,0
175;5473,714285714285;5473,714285714285;0,0;0,0
180;5370,642857142857;5370,642857142857;0,0;0,0
185;5268,742857142858;5268,742857142858;0,0;0,0
190;5166,3;5166,3;0,0;0,0
195;5063,2;5063,2;0,0;0,0
200;4956,757142857144;4956,757142857144;0,0;0,0
205;4848,228571428571;4848,228571428571;0,0;0,0
