Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;12640,771428571428;12407,514285714287;0,0;233,25714285714284
5;12677,57142857143;12479,07142857143;0,0;198,5
10;12701,214285714286;12547,957142857142;0,0;153,27142857142857
15;12699,628571428573;12604,385714285714;0,0;95,22857142857143
20;12689,457142857142;12653,742857142857;0,0;35,714285714285715
25;12712,314285714285;12700,4;0,0;11,9
30;12746,085714285715;12746,085714285715;0,0;0,0
35;12779,328571428572;12779,328571428572;0,0;0,0
40;12798,128571428571;12798,128571428571;0,0;0,0
45;12810,514285714284;12810,514285714284;0,0;0,0
50;12819,42857142857;12819,42857142857;0,0;0,0
55;12822,057142857144;12822,057142857144;0,0;0,0
60;12820,371428571429;12820,371428571429;0,0;0,0
65;12807,6;12807,6;0,0;0,0
70;12781,385714285714;12781,385714285714;0,0;0,0
75;12741,785714285714;12741,785714285714;0,0;0,0
80;12693,07142857143;12693,07142857143;0,0;0,0
85;12634,085714285715;12634,085714285715;0,0;0,0
90;12568,028571428571;12568,028571428571;0,0;0,0
95;12490,771428571428;12490,771428571428;0,0;0,0
100;12399,4;12399,4;0,0;0,0
105;12299,557142857142;12299,557142857142;0,0;0,0
110;12191,828571428572;12191,828571428572;0,0;0,0
115;12072,785714285714;12072,785714285714;0,0;0,0
120;11948,371428571429;11948,371428571429;0,0;0,0
125;11813,27142857143;11813,27142857143;0,0;0,0
130;11673,442857142858;11673,442857142858;0,0;0,0
135;11530,871428571429;11530,871428571429;0,0;0,0
140;11388,057142857142;11388,057142857142;0,0;0,0
145;11237,257142857143;11237,257142857143;0,0;0,0
150;11078,614285714286;11078,614285714286;0,0;0,0
155;10912,271428571428;10912,271428571428;0,0;0,0
160;10737,614285714284;10737,614285714284;0,0;0,0
165;10556,885714285714;10556,885714285714;0,0;0,0
170;10370,0;10370,0;0,0;0,0
175;10177,185714285715;10177,185714285715;0,0;0,0
180;9978,528571428571;9978,528571428571;0,0;0,0
185;9771,285714285714;9771,285714285714;0,0;0,0
190;9560,371428571429;9560,371428571429;0,0;0,0
195;9348,557142857144;9348,557142857144;0,0;0,0
200;9132,671428571428;9132,671428571428;0,0;0,0
205;8915,5;8915,5;0,0;0,0
210;8698,814285714287;8698,814285714287;0,0;0,0
215;8485,3;8485,3;0,0;0,0
220;8272,257142857143;8272,257142857143;0,0;0,0
225;8061,157142857142;8061,157142857142;0,0;0,0
230;7852,085714285714;7852,085714285714;0,0;0,0
235;7639,114285714286;7639,114285714286;0,0;0,0
240;7427,599999999999;7427,599999999999;0,0;0,0
245;7215,8;7215,8;0,0;0,0
250;7002,5;7002,5;0,0;0,0
255;6784,971428571429;6784,971428571429;0,0;0,0
260;6567,314285714286;6567,314285714286;0,0;0,0
265;6352,771428571429;6352,771428571429;0,0;0,0
270;6143,3714285714295;6143,3714285714295;0,0;0,0
275;5936,057142857143;5936,057142857143;0,0;0,0
280;5734,414285714286;5734,414285714286;0,0;0,0
285;5536,942857142857;5536,942857142857;0,0;0,0
290;5345,885714285714;5345,885714285714;0,0;0,0
295;5155,285714285715;5155,285714285715;0,0;0,0
300;4973,571428571428;4973,571428571428;0,0;0,0
305;4793,585714285714;4793,585714285714;0,0;0,0
310;4611,785714285715;4611,785714285715;0,0;0,0
315;4434,071428571428;4434,071428571428;0,0;0,0
320;4259,071428571428;4259,071428571428;0,0;0,0
325;4085,7285714285717;4085,7285714285717;0,0;0,0
330;3925,4857142857145;3913,5714285714284;0,0;11,9
335;3764,042857142857;3740,2285714285713;0,0;23,814285714285713
340;3601,914285714286;3566,2000000000003;0,0;35,714285714285715
345;3445,457142857143;3397,828571428571;0,0;47,614285714285714
350;3286,2285714285713;3238,6;0,0;47,614285714285714
355;3117,6428571428573;3081,9285714285716;0,0;35,714285714285715
360;2954,2571428571428;2930,442857142857;0,0;23,814285714285713
365;2792,871428571428;2780,9714285714285;0,0;11,9
370;2635,9428571428575;2635,9428571428575;0,0;0,0
375;2497,6142857142854;2497,6142857142854;0,0;0,0
380;2364,285714285714;2364,285714285714;0,0;0,0
385;2236,785714285714;2232,614285714286;4,171428571428572;0,0
390;2109,414285714286;2103,9285714285716;5,471428571428571;0,0
395;1991,0857142857144;1985,6000000000001;5,471428571428571;0,0
400;1877,7428571428572;1872,257142857143;5,471428571428571;0,0
405;1772,1857142857145;1766,7142857142858;5,471428571428571;0,0
410;1675,5571428571427;1670,0714285714287;5,471428571428571;0,0
415;1583,857142857143;1578,3857142857144;5,471428571428571;0,0
420;1498,3857142857144;1490,0571428571427;8,328571428571427;0,0
425;1413,7571428571428;1405,4142857142856;8,328571428571427;0,0
430;1333,7857142857142;1325,4142857142856;8,371428571428572;0,0
435;1260,4714285714285;1252,1000000000001;8,371428571428572;0,0
440;1192,6142857142856;1184,2285714285715;8,371428571428572;0,0
445;1128,857142857143;1120,4857142857143;8,371428571428572;0,0
450;1067,1571428571428;1058,8285714285714;8,328571428571427;0,0
455;1002,9857142857143;998,8142857142857;4,171428571428572;0,0
460;942,157142857143;942,157142857143;0,0;0,0
465;885,0;885,0;0,0;0,0
470;831,657142857143;831,657142857143;0,0;0,0
475;785,8142857142857;781,6571428571427;4,171428571428572;0,0
480;738,8714285714286;730,8714285714286;8,0;0,0
485;693,8571428571429;685,8571428571429;8,0;0,0
490;664,1;644,1857142857143;8,0;11,9
495;641,8571428571429;605,8714285714285;12,171428571428573;23,814285714285713
500;621,2428571428571;569,1857142857142;16,32857142857143;35,714285714285715
505;595,1285714285714;534,1857142857142;20,5;40,44285714285714
510;571,7857142857143;500,85714285714283;18,585714285714285;52,34285714285715
515;548,2571428571429;467,5142857142857;21,214285714285715;59,528571428571425
520;514,6714285714286;435,85714285714283;19,285714285714285;59,528571428571425
525;469,4142857142857;404,18571428571425;15,114285714285714;50,1
530;423,34285714285716;374,18571428571425;10,957142857142857;38,199999999999996
535;395,0285714285714;344,2;15,114285714285714;35,714285714285715
540;358,62857142857143;314,18571428571425;20,642857142857142;23,814285714285713
545;338,2142857142857;288,3285714285714;26,071428571428573;23,8
