Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0
10;16,7;16,7;0,0;0,0
15;33,3;33,3;0,0;0,0
20;50,0;50,0;0,0;0,0
25;66,7;66,7;0,0;0,0
30;83,3;83,3;0,0;0,0
35;100,0;100,0;0,0;0,0
40;133,3;133,3;0,0;0,0
45;166,7;166,7;0,0;0,0
50;206,9;206,9;0,0;0,0
55;240,2;240,2;0,0;0,0
60;273,6;273,6;0,0;0,0
65;299,1;299,1;0,0;0,0
70;315,8;315,8;0,0;0,0
75;332,5;332,5;0,0;0,0
80;349,1;349,1;0,0;0,0
85;365,8;365,8;0,0;0,0
90;382,5;382,5;0,0;0,0
95;399,1;399,1;0,0;0,0
100;415,8;415,8;0,0;0,0
105;427,0;427,0;0,0;0,0
110;427,0;427,0;0,0;0,0
115;427,0;427,0;0,0;0,0
120;427,0;427,0;0,0;0,0
125;427,0;427,0;0,0;0,0
130;427,0;427,0;0,0;0,0
135;427,0;427,0;0,0;0,0
140;427,0;427,0;0,0;0,0
145;427,0;427,0;0,0;0,0
150;427,0;427,0;0,0;0,0
155;427,0;427,0;0,0;0,0
160;427,0;427,0;0,0;0,0
165;427,0;427,0;0,0;0,0
170;427,0;427,0;0,0;0,0
175;427,0;427,0;0,0;0,0
180;427,0;427,0;0,0;0,0
185;427,0;427,0;0,0;0,0
190;427,0;427,0;0,0;0,0
195;427,0;427,0;0,0;0,0
200;427,0;427,0;0,0;0,0
205;427,0;427,0;0,0;0,0
210;427,0;427,0;0,0;0,0
215;427,0;427,0;0,0;0,0
220;427,0;427,0;0,0;0,0
225;427,0;427,0;0,0;0,0
230;427,0;427,0;0,0;0,0
235;427,0;427,0;0,0;0,0
240;427,0;427,0;0,0;0,0
245;427,0;427,0;0,0;0,0
250;427,0;427,0;0,0;0,0
255;427,0;427,0;0,0;0,0
260;427,0;427,0;0,0;0,0
265;427,0;427,0;0,0;0,0
270;427,0;427,0;0,0;0,0
275;427,0;427,0;0,0;0,0
280;427,0;427,0;0,0;0,0
285;427,0;427,0;0,0;0,0
290;427,0;427,0;0,0;0,0
295;427,0;427,0;0,0;0,0
300;427,0;427,0;0,0;0,0
305;427,0;427,0;0,0;0,0
310;427,0;427,0;0,0;0,0
315;427,0;427,0;0,0;0,0
320;427,0;427,0;0,0;0,0
325;427,0;427,0;0,0;0,0
330;427,0;427,0;0,0;0,0
335;427,0;427,0;0,0;0,0
340;427,0;427,0;0,0;0,0
345;427,0;427,0;0,0;0,0
350;427,0;427,0;0,0;0,0
355;427,0;427,0;0,0;0,0
360;427,0;427,0;0,0;0,0
365;427,0;427,0;0,0;0,0
370;427,0;427,0;0,0;0,0
375;427,0;427,0;0,0;0,0
380;427,0;427,0;0,0;0,0
385;427,0;427,0;0,0;0,0
390;427,0;427,0;0,0;0,0
395;427,0;427,0;0,0;0,0
400;427,0;427,0;0,0;0,0
405;427,0;427,0;0,0;0,0
410;427,0;427,0;0,0;0,0
415;427,0;427,0;0,0;0,0
420;427,0;427,0;0,0;0,0
425;427,0;427,0;0,0;0,0
430;426,5;426,5;0,0;0,0
435;418,1;418,1;0,0;0,0
440;409,8;409,8;0,0;0,0
445;401,5;401,5;0,0;0,0
450;393,1;393,1;0,0;0,0
455;384,8;384,8;0,0;0,0
460;376,5;376,5;0,0;0,0
465;368,1;368,1;0,0;0,0
470;356,9;356,9;0,0;0,0
475;340,2;340,2;0,0;0,0
480;323,6;323,6;0,0;0,0
485;306,9;306,9;0,0;0,0
490;290,2;290,2;0,0;0,0
495;273,6;273,6;0,0;0,0
500;256,9;256,9;0,0;0,0
505;240,2;240,2;0,0;0,0
510;223,6;223,6;0,0;0,0
515;229,8;206,9;22,9;0,0
520;213,1;190,2;22,9;0,0
525;196,5;173,6;22,9;0,0
530;179,8;156,9;22,9;0,0
535;163,1;140,2;22,9;0,0
540;146,5;123,6;22,9;0,0
545;149,7;106,9;42,7;0,0
550;308,0;98,6;42,7;166,7
555;603,2;83,3;19,9;500,0
560;907,1;66,7;19,9;820,6
565;949,2;50,0;19,9;879,3
570;875,5;33,3;92,2;750,0
575;740,0;16,7;140,0;583,3
580;731,7;8,3;140,0;583,3
585;703,5;0,0;120,1;583,3
590;637,5;0,0;120,1;517,4
595;518,1;0,0;101,5;416,7
600;522,3;0,0;189,0;333,3
605;501,9;0,0;251,9;250,0
610;386,3;0,0;219,7;166,7
615;303,0;0,0;219,7;83,3
620;208,7;0,0;208,7;-0,0
625;351,6;0,0;184,9;166,7
630;459,9;0,0;126,6;333,3
635;713,7;0,0;68,2;645,5
640;759,9;0,0;9,9;750,0
645;1076,6;0,0;145,1;931,5
650;1311,6;0,0;311,6;1000,0
655;1397,1;0,0;428,8;968,3
660;1585,4;0,0;502,0;1083,3
665;1762,3;0,0;595,6;1166,7
670;1902,8;0,0;604,4;1298,3
675;1565,8;0,0;565,8;1000,0
680;1456,1;0,0;539,4;916,7
685;1281,4;0,0;448,1;833,3
690;1350,9;0,0;395,3;955,6
695;1307,6;0,0;391,0;916,7
700;1116,6;0,0;315,1;801,5
705;894,3;0,0;227,6;666,7
710;800,9;0,0;300,9;500,0
715;587,4;0,0;254,1;333,3
720;724,9;0,0;224,9;500,0
725;1131,2;0,0;381,2;750,0
730;1377,3;0,0;425,7;951,6
735;1382,5;0,0;382,5;1000,0
740;1438,8;0,0;438,8;1000,0
745;1339,3;0,0;391,6;947,7
750;1039,3;0,0;299,9;739,3
755;966,2;0,0;299,5;666,7
760;825,3;0,0;242,0;583,3
765;800,4;0,0;154,5;645,9
770;813,3;0,0;146,7;666,7
775;784,2;0,0;117,5;666,7
780;781,3;0,0;88,3;693,0
785;654,3;0,0;71,0;583,3
790;458,5;0,0;41,8;416,7
795;435,5;0,0;18,9;416,7
800;552,2;0,0;52,2;500,0
805;599,3;0,0;86,7;512,6
810;569,8;0,0;153,1;416,7
815;719,2;0,0;219,2;500,0
820;841,4;0,0;258,1;583,3
825;906,4;0,0;252,6;653,8
830;752,6;0,0;252,6;500,0
835;913,1;0,0;246,4;666,7
840;1099,7;0,0;183,1;916,7
845;1143,0;0,0;95,6;1047,4
850;945,8;0,0;29,2;916,7
855;666,7;0,0;-0,0;666,7
860;500,0;0,0;-0,0;500,0
865;500,0;0,0;-0,0;500,0
870;543,2;0,0;43,2;500,0
875;449,1;0,0;43,2;405,9
880;449,1;0,0;43,2;405,9
885;376,6;0,0;43,2;333,3
890;293,2;0,0;43,2;250,0
895;434,9;0,0;101,6;333,3
900;544,5;0,0;127,8;416,7
905;567,7;0,0;113,8;453,9
910;668,0;0,0;84,6;583,3
915;751,3;0,0;84,6;666,7
920;787,4;16,7;84,6;686,1
925;841,7;33,3;58,3;750,0
930;829,2;50,0;29,2;750,0
935;732,3;83,3;-0,0;648,9
940;848,9;116,7;-0,0;732,3
945;1066,7;150,0;-0,0;916,7
950;1229,6;200,0;-0,0;1029,6
955;1491,0;266,7;-0,0;1224,4
960;1833,3;333,3;-0,0;1500,0
965;2061,6;400,0;0,8;1660,8
970;2244,7;466,7;0,8;1777,2
975;2229,6;533,3;0,8;1695,4
980;2140,4;600,0;0,8;1539,5
985;2223,7;683,3;0,8;1539,5
990;2211,6;766,7;0,8;1444,2
995;2042,8;850,0;0,8;1192,0
1000;2013,2;933,3;0,8;1079,0
1005;2016,7;1016,7;-0,0;1000,0
1010;1915,2;1100,0;-0,0;815,2
