Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0
10;9,2;9,2;0,0;0,0
15;18,3;18,3;0,0;0,0
20;27,5;27,5;0,0;0,0
25;36,7;36,7;0,0;0,0
30;45,8;45,8;0,0;0,0
35;55,0;55,0;0,0;0,0
40;73,3;73,3;0,0;0,0
45;91,7;91,7;0,0;0,0
50;119,2;119,2;0,0;0,0
55;146,7;146,7;0,0;0,0
60;174,2;174,2;0,0;0,0
65;201,7;201,7;0,0;0,0
70;229,2;229,2;0,0;0,0
75;256,7;256,7;0,0;0,0
80;284,2;284,2;0,0;0,0
85;311,7;311,7;0,0;0,0
90;339,2;339,2;0,0;0,0
95;366,7;366,7;0,0;0,0
100;394,2;394,2;0,0;0,0
105;421,7;421,7;0,0;0,0
110;441,9;441,9;0,0;0,0
115;460,2;460,2;0,0;0,0
120;478,6;478,6;0,0;0,0
125;496,9;496,9;0,0;0,0
130;515,2;515,2;0,0;0,0
135;533,6;533,6;0,0;0,0
140;551,9;551,9;0,0;0,0
145;570,2;570,2;0,0;0,0
150;588,6;588,6;0,0;0,0
155;606,9;606,9;0,0;0,0
160;623,3;623,3;0,0;0,0
165;632,5;632,5;0,0;0,0
170;641,6;641,6;0,0;0,0
175;650,8;650,8;0,0;0,0
180;660,0;660,0;0,0;0,0
185;669,1;669,1;0,0;0,0
190;678,3;678,3;0,0;0,0
195;687,5;687,5;0,0;0,0
200;696,6;696,6;0,0;0,0
205;697,0;697,0;0,0;0,0
210;697,0;697,0;0,0;0,0
215;697,0;697,0;0,0;0,0
220;697,0;697,0;0,0;0,0
225;697,0;697,0;0,0;0,0
230;697,0;697,0;0,0;0,0
235;697,0;697,0;0,0;0,0
240;697,0;697,0;0,0;0,0
245;697,0;697,0;0,0;0,0
250;697,0;697,0;0,0;0,0
255;697,0;697,0;0,0;0,0
260;697,0;697,0;0,0;0,0
265;697,0;697,0;0,0;0,0
270;697,0;697,0;0,0;0,0
275;697,0;697,0;0,0;0,0
280;697,0;697,0;0,0;0,0
285;697,0;697,0;0,0;0,0
290;697,0;697,0;0,0;0,0
295;697,0;697,0;0,0;0,0
300;697,0;697,0;0,0;0,0
305;697,0;697,0;0,0;0,0
310;697,0;697,0;0,0;0,0
315;697,0;697,0;0,0;0,0
320;697,0;697,0;0,0;0,0
325;697,0;697,0;0,0;0,0
330;697,0;697,0;0,0;0,0
335;697,0;697,0;0,0;0,0
340;697,0;697,0;0,0;0,0
345;697,0;697,0;0,0;0,0
350;697,0;697,0;0,0;0,0
355;697,0;697,0;0,0;0,0
360;697,0;697,0;0,0;0,0
365;697,0;697,0;0,0;0,0
370;697,0;697,0;0,0;0,0
375;697,0;697,0;0,0;0,0
380;697,0;697,0;0,0;0,0
385;697,0;697,0;0,0;0,0
390;697,0;697,0;0,0;0,0
395;689,8;689,8;0,0;0,0
400;680,6;680,6;0,0;0,0
405;671,5;671,5;0,0;0,0
410;662,3;662,3;0,0;0,0
415;653,1;653,1;0,0;0,0
420;644,0;644,0;0,0;0,0
425;634,8;634,8;0,0;0,0
430;625,2;625,2;0,0;0,0
435;606,9;606,9;0,0;0,0
440;588,6;588,6;0,0;0,0
445;570,2;570,2;0,0;0,0
450;551,9;551,9;0,0;0,0
455;533,6;533,6;0,0;0,0
460;515,2;515,2;0,0;0,0
465;496,9;496,9;0,0;0,0
470;478,6;478,6;0,0;0,0
475;460,2;460,2;0,0;0,0
480;441,9;441,9;0,0;0,0
485;423,6;423,6;0,0;0,0
490;405,2;405,2;0,0;0,0
495;386,9;386,9;0,0;0,0
500;368,6;368,6;0,0;0,0
505;348,3;348,3;0,0;0,0
510;320,8;320,8;0,0;0,0
515;316,2;293,3;22,9;0,0
520;288,7;265,8;22,9;0,0
525;261,2;238,3;22,9;0,0
530;233,7;210,8;22,9;0,0
535;206,2;183,3;22,9;0,0
540;178,7;155,8;22,9;0,0
545;171,1;128,3;42,7;0,0
550;236,1;110,0;42,7;83,3
555;361,5;91,7;19,9;250,0
560;509,9;73,3;19,9;416,7
565;587,6;55,0;19,9;512,7
570;649,7;36,7;63,0;550,1
575;647,8;18,3;92,2;537,4
580;630,5;9,2;121,3;500,0
585;536,8;-0,0;120,1;416,7
590;453,5;-0,0;120,1;333,3
595;417,4;-0,0;101,5;316,0
600;446,6;-0,0;130,6;316,0
605;409,8;-0,0;159,8;250,0
610;341,7;-0,0;175,0;166,7
615;292,1;-0,0;208,7;83,3
620;208,7;-0,0;208,7;0,0
625;268,2;-0,0;184,9;83,3
630;293,2;-0,0;126,6;166,7
635;401,6;-0,0;68,2;333,3
640;447,7;-0,0;9,9;437,8
645;691,3;-0,0;86,8;604,5
650;909,5;-0,0;174,3;735,2
655;1017,6;-0,0;282,4;735,2
660;1172,6;-0,0;390,9;781,7
665;1273,3;-0,0;491,6;781,7
670;1341,4;-0,0;508,1;833,3
675;1229,5;-0,0;527,8;701,7
680;1211,9;-0,0;510,3;701,7
685;1056,4;-0,0;389,7;666,7
690;1005,0;-0,0;338,3;666,7
695;961,7;-0,0;334,0;627,7
700;840,8;-0,0;296,4;544,4
705;759,5;-0,0;227,6;531,9
710;705,3;-0,0;256,8;448,5
715;585,3;-0,0;252,0;333,3
720;558,3;-0,0;224,9;333,3
725;710,4;-0,0;293,7;416,7
730;833,5;-0,0;333,5;500,0
735;970,0;-0,0;338,3;631,7
740;1113,8;-0,0;398,8;715,0
745;1133,8;-0,0;383,8;750,0
750;924,9;-0,0;299,9;625,0
755;822,7;-0,0;270,3;552,3
760;635,9;-0,0;219,2;416,7
765;571,2;-0,0;154,5;416,7
770;584,1;-0,0;146,7;437,4
775;554,9;-0,0;117,5;437,4
780;588,3;-0,0;88,3;500,0
785;544,7;-0,0;71,0;473,7
790;432,2;-0,0;41,8;390,3
795;352,2;-0,0;18,9;333,3
800;385,5;-0,0;52,2;333,3
805;414,7;-0,0;81,4;333,3
810;444,7;-0,0;124,0;320,8
815;586,4;-0,0;182,3;404,1
820;635,9;-0,0;219,2;416,7
825;659,6;-0,0;242,9;416,7
830;598,9;-0,0;252,6;346,2
835;676,0;-0,0;246,4;429,5
840;766,4;-0,0;183,1;583,3
845;762,2;-0,0;95,6;666,7
850;731,7;-0,0;29,2;702,6
855;619,2;-0,0;-0,0;619,2
860;500,0;-0,0;-0,0;500,0
865;416,7;-0,0;-0,0;416,7
870;362,5;-0,0;29,2;333,3
875;293,2;-0,0;43,2;250,0
880;376,6;-0,0;43,2;333,3
885;376,6;-0,0;43,2;333,3
890;293,2;-0,0;43,2;250,0
895;322,4;-0,0;72,4;250,0
900;351,6;-0,0;101,6;250,0
905;363,8;-0,0;113,8;250,0
910;464,0;-0,0;84,6;379,4
915;547,3;-0,0;84,6;462,7
920;593,8;9,2;84,6;500,0
925;640,5;18,3;58,3;563,9
930;620,5;27,5;29,2;563,9
935;545,8;45,8;-0,0;500,0
940;647,5;64,2;-0,0;583,3
945;749,2;82,5;-0,0;666,7
950;776,7;110,0;-0,0;666,7
955;950,4;146,7;-0,0;803,7
960;1179,4;183,3;-0,0;996,0
965;1329,8;220,0;0,8;1109,0
970;1590,8;256,7;0,8;1333,3
975;1706,7;293,3;0,8;1412,6
980;1660,0;330,0;0,8;1329,2
985;1626,6;375,8;0,8;1250,0
990;1587,0;421,7;0,8;1164,5
995;1468,3;467,5;0,8;1000,0
1000;1430,8;513,3;0,8;916,7
