Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;0,0;0,0;0,0;0,0
5;8,3;8,3;0,0;0,0
10;16,7;16,7;0,0;0,0
15;25,0;25,0;0,0;0,0
20;41,7;41,7;0,0;0,0
25;75,0;75,0;0,0;0,0
30;108,3;108,3;0,0;0,0
35;150,0;150,0;0,0;0,0
40;191,7;191,7;0,0;0,0
45;241,7;241,7;0,0;0,0
50;300,0;300,0;0,0;0,0
55;358,3;358,3;0,0;0,0
60;416,7;416,7;0,0;0,0
65;475,0;475,0;0,0;0,0
70;533,3;533,3;0,0;0,0
75;600,0;600,0;0,0;0,0
80;683,3;683,3;0,0;0,0
85;775,0;775,0;0,0;0,0
90;863,3;863,3;0,0;0,0
95;946,6;946,6;0,0;0,0
100;1030,0;1030,0;0,0;0,0
105;1113,3;1113,3;0,0;0,0
110;1196,6;1196,6;0,0;0,0
115;1277,4;1277,4;0,0;0,0
120;1352,4;1352,4;0,0;0,0
125;1427,4;1427,4;0,0;0,0
130;1490,5;1490,5;0,0;0,0
135;1542,3;1542,3;0,0;0,0
140;1592,3;1592,3;0,0;0,0
145;1642,3;1642,3;0,0;0,0
150;1700,7;1700,7;0,0;0,0
155;1759,0;1759,0;0,0;0,0
160;1815,6;1815,6;0,0;0,0
165;1865,6;1865,6;0,0;0,0
170;1915,6;1915,6;0,0;0,0
175;1958,3;1958,3;0,0;0,0
180;2000,0;2000,0;0,0;0,0
185;2039,7;2039,7;0,0;0,0
190;2073,0;2073,0;0,0;0,0
195;2106,3;2106,3;0,0;0,0
200;2146,5;2146,5;0,0;0,0
205;2179,9;2179,9;0,0;0,0
210;2205,5;2205,5;0,0;0,0
215;2230,5;2230,5;0,0;0,0
220;2255,5;2255,5;0,0;0,0
225;2273,3;2273,3;0,0;0,0
230;2290,0;2290,0;0,0;0,0
235;2306,7;2306,7;0,0;0,0
240;2323,3;2323,3;0,0;0,0
245;2340,0;2340,0;0,0;0,0
250;2356,7;2356,7;0,0;0,0
255;2366,2;2366,2;0,0;0,0
260;2374,6;2374,6;0,0;0,0
265;2382,9;2382,9;0,0;0,0
270;2391,2;2391,2;0,0;0,0
275;2399,6;2399,6;0,0;0,0
280;2407,9;2407,9;0,0;0,0
285;2416,2;2416,2;0,0;0,0
290;2507,9;2424,6;0,0;83,3
295;2599,6;2432,9;0,0;166,7
300;2691,2;2441,2;0,0;250,0
305;2782,9;2449,6;0,0;333,3
310;2791,2;2457,9;0,0;333,3
315;2708,5;2458,5;0,0;250,0
320;2625,1;2458,5;0,0;166,7
325;2541,8;2458,5;0,0;83,3
330;2458,5;2458,5;0,0;0,0
335;2458,5;2458,5;0,0;0,0
340;2458,5;2458,5;0,0;0,0
345;2458,5;2458,5;0,0;0,0
350;2458,5;2458,5;0,0;0,0
355;2458,5;2458,5;0,0;0,0
360;2458,5;2458,5;0,0;0,0
365;2458,5;2458,5;0,0;0,0
370;2458,5;2458,5;0,0;0,0
375;2458,5;2458,5;0,0;0,0
380;2457,2;2457,2;0,0;0,0
385;2448,9;2448,9;0,0;0,0
390;2440,6;2440,6;0,0;0,0
395;2432,2;2432,2;0,0;0,0
400;2423,9;2423,9;0,0;0,0
405;2415,6;2415,6;0,0;0,0
410;2407,2;2407,2;0,0;0,0
415;2398,9;2398,9;0,0;0,0
420;2390,6;2390,6;0,0;0,0
425;2382,2;2382,2;0,0;0,0
430;2367,5;2367,5;0,0;0,0
435;2350,9;2350,9;0,0;0,0
440;2334,2;2334,2;0,0;0,0
445;2313,7;2313,7;0,0;0,0
450;2288,7;2288,7;0,0;0,0
455;2262,8;2262,8;0,0;0,0
460;2229,4;2229,4;0,0;0,0
465;2196,1;2196,1;0,0;0,0
470;2153,9;2153,9;0,0;0,0
475;2103,9;2103,9;0,0;0,0
480;2053,9;2053,9;0,0;0,0
485;2033,0;2003,9;29,2;0,0
490;2010,3;1952,0;58,3;0,0
495;2003,5;1886,8;116,7;0,0
500;1976,4;1813,8;162,7;0,0
505;1930,6;1738,8;191,8;0,0
510;1852,6;1663,8;188,8;0,0
515;1743,4;1583,8;159,6;0,0
520;1617,2;1500,5;116,7;0,0
525;1475,5;1417,2;58,3;0,0
530;1363,0;1333,8;29,2;0,0
535;1250,5;1250,5;0,0;0,0
540;1250,5;1167,2;0,0;83,3
545;1281,3;1085,5;29,2;166,7
550;1291,1;1002,2;38,9;250,0
555;1242,2;918,8;38,9;284,4
560;1196,4;843,8;68,1;284,4
565;1159,8;784,9;124,9;250,0
570;1039,0;718,2;154,1;166,7
575;984,8;659,9;241,6;83,3
580;907,1;601,6;305,6;0,0
585;886,3;551,6;334,7;0,0
590;910,0;509,9;400,1;0,0
595;869,9;468,2;401,7;0,0
600;915,7;426,6;489,2;0,0
605;953,1;384,9;568,2;0,0
610;992,1;343,2;648,8;0,0
615;985,0;309,9;675,1;0,0
620;1070,3;292,7;694,3;83,3
625;1194,0;276,0;668,0;250,0
630;1274,6;259,3;598,6;416,7
635;1310,5;242,7;519,6;548,2
640;1227,2;226,0;435,6;565,7
645;1220,1;209,3;493,3;517,5
650;1091,9;192,7;482,6;416,7
655;959,4;176,0;533,4;250,0
660;867,7;166,7;617,7;83,3
665;801,7;150,0;651,7;0,0
670;771,4;133,3;638,1;0,0
675;790,2;116,7;590,2;83,3
680;818,1;100,0;551,5;166,7
685;939,0;83,3;522,3;333,3
690;1093,0;75,0;481,9;536,2
695;1165,8;66,7;396,4;702,8
700;1212,9;58,3;377,2;777,4
705;1204,3;50,0;355,3;798,9
710;1266,1;41,7;452,8;771,6
715;1224,7;33,3;524,7;666,7
720;1260,3;25,0;594,3;641,0
725;1161,3;16,7;587,0;557,6
730;1063,8;8,3;555,4;500,0
735;980,0;-0,0;547,2;432,8
740;896,7;-0,0;547,2;349,5
745;926,6;-0,0;593,2;333,3
750;835,7;-0,0;502,3;333,3
755;869,6;-0,0;453,0;416,7
760;875,1;-0,0;417,5;457,7
765;981,2;-0,0;356,9;624,3
770;970,3;-0,0;240,2;730,1
