Zeit_Tag;Leistung_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS
0;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0
20;8,3;8,3;0,0;0,0
25;16,7;16,7;0,0;0,0
30;25,0;25,0;0,0;0,0
35;33,3;33,3;0,0;0,0
40;41,7;41,7;0,0;0,0
45;58,3;58,3;0,0;0,0
50;75,0;75,0;0,0;0,0
55;91,7;91,7;0,0;0,0
60;116,7;116,7;0,0;0,0
65;141,7;141,7;0,0;0,0
70;166,7;166,7;0,0;0,0
75;200,0;200,0;0,0;0,0
80;241,7;241,7;0,0;0,0
85;291,7;291,7;0,0;0,0
90;341,7;341,7;0,0;0,0
95;391,7;391,7;0,0;0,0
100;441,7;441,7;0,0;0,0
105;491,7;491,7;0,0;0,0
110;541,7;541,7;0,0;0,0
115;600,0;600,0;0,0;0,0
120;666,7;666,7;0,0;0,0
125;733,3;733,3;0,0;0,0
130;795,5;795,5;0,0;0,0
135;847,4;847,4;0,0;0,0
140;897,4;897,4;0,0;0,0
145;947,4;947,4;0,0;0,0
150;997,2;997,2;0,0;0,0
155;1038,9;1038,9;0,0;0,0
160;1080,5;1080,5;0,0;0,0
165;1122,2;1122,2;0,0;0,0
170;1163,9;1163,9;0,0;0,0
175;1205,5;1205,5;0,0;0,0
180;1247,2;1247,2;0,0;0,0
185;1286,9;1286,9;0,0;0,0
190;1319,1;1319,1;0,0;0,0
195;1344,1;1344,1;0,0;0,0
200;1369,1;1369,1;0,0;0,0
205;1388,7;1388,7;0,0;0,0
210;1397,6;1397,6;0,0;0,0
215;1405,9;1405,9;0,0;0,0
220;1414,3;1414,3;0,0;0,0
225;1415,5;1415,5;0,0;0,0
230;1415,5;1415,5;0,0;0,0
235;1415,5;1415,5;0,0;0,0
240;1415,5;1415,5;0,0;0,0
245;1415,5;1415,5;0,0;0,0
250;1415,5;1415,5;0,0;0,0
255;1415,5;1415,5;0,0;0,0
260;1415,5;1415,5;0,0;0,0
265;1415,5;1415,5;0,0;0,0
270;1415,5;1415,5;0,0;0,0
275;1415,5;1415,5;0,0;0,0
280;1415,5;1415,5;0,0;0,0
285;1415,5;1415,5;0,0;0,0
290;1415,5;1415,5;0,0;0,0
295;1415,5;1415,5;0,0;0,0
300;1415,5;1415,5;0,0;0,0
305;1415,5;1415,5;0,0;0,0
310;1415,5;1415,5;0,0;0,0
315;1415,5;1415,5;0,0;0,0
320;1415,5;1415,5;0,0;0,0
325;1415,5;1415,5;0,0;0,0
330;1415,5;1415,5;0,0;0,0
335;1415,5;1415,5;0,0;0,0
340;1415,5;1415,5;0,0;0,0
345;1415,5;1415,5;0,0;0,0
350;1415,5;1415,5;0,0;0,0
355;1415,5;1415,5;0,0;0,0
360;1415,5;1415,5;0,0;0,0
365;1415,5;1415,5;0,0;0,0
370;1415,5;1415,5;0,0;0,0
375;1415,5;1415,5;0,0;0,0
380;1415,5;1415,5;0,0;0,0
385;1415,5;1415,5;0,0;0,0
390;1415,5;1415,5;0,0;0,0
395;1415,5;1415,5;0,0;0,0
400;1415,5;1415,5;0,0;0,0
405;1415,5;1415,5;0,0;0,0
410;1415,5;1415,5;0,0;0,0
415;1415,5;1415,5;0,0;0,0
420;1415,5;1415,5;0,0;0,0
425;1415,5;1415,5;0,0;0,0
430;1415,5;1415,5;0,0;0,0
435;1415,5;1415,5;0,0;0,0
440;1415,5;1415,5;0,0;0,0
445;1411,6;1411,6;0,0;0,0
450;1403,3;1403,3;0,0;0,0
455;1394,9;1394,9;0,0;0,0
460;1386,6;1386,6;0,0;0,0
465;1371,0;1371,0;0,0;0,0
470;1353,2;1353,2;0,0;0,0
475;1328,2;1328,2;0,0;0,0
480;1303,2;1303,2;0,0;0,0
485;1307,4;1278,2;29,2;0,0
490;1307,7;1251,3;56,3;0,0
495;1303,5;1218,0;85,5;0,0
500;1293,0;1178,3;114,7;0,0
505;1258,2;1136,6;121,6;0,0
510;1216,6;1095,0;121,6;0,0
515;1174,9;1053,3;121,6;0,0
520;1106,1;1011,6;94,5;0,0
525;1028,3;970,0;58,3;0,0
530;957,5;928,3;29,2;0,0
535;886,6;886,6;0,0;0,0
540;928,3;845,0;0,0;83,3
545;972,9;803,3;2,9;166,7
550;1014,6;761,6;2,9;250,0
555;1029,2;711,8;2,9;314,4
560;999,4;667,3;17,7;314,4
565;884,4;616,7;17,7;250,0
570;742,7;558,3;17,7;166,7
575;663,6;500,0;80,3;83,3
580;568,2;441,7;126,6;0,0
585;536,6;391,7;145,0;0,0
590;570,0;341,7;145,0;83,3
595;632,5;291,7;174,1;166,7
600;885,1;250,0;301,7;333,3
605;1042,9;208,3;374,9;459,7
610;1142,1;166,7;432,4;543,0
615;1138,7;133,3;457,8;547,5
620;1172,0;108,3;516,2;547,5
625;1145,8;91,7;470,8;583,3
630;1054,5;75,0;396,2;583,3
635;1057,7;58,3;337,8;661,6
640;1020,3;41,7;263,6;715,0
645;1031,9;25,0;286,7;720,1
650;990,9;8,3;315,9;666,7
655;992,3;-0,0;365,3;627,0
660;1032,9;-0,0;405,9;627,0
665;1093,0;-0,0;426,3;666,7
670;1151,2;-0,0;445,7;705,5
675;1260,5;-0,0;430,3;830,2
680;1392,8;-0,0;434,8;958,0
685;1666,3;-0,0;416,3;1250,0
690;2185,3;-0,0;416,3;1769,0
695;2755,9;-0,0;458,7;2297,2
700;3103,4;-0,0;413,6;2689,8
705;3278,7;-0,0;361,7;2917,0
710;3447,3;-0,0;361,7;3085,6
715;3256,6;-0,0;343,0;2913,6
720;2980,0;-0,0;313,3;2666,7
725;2391,9;-0,0;277,5;2114,4
730;1779,4;-0,0;248,3;1531,1
735;1430,6;-0,0;264,0;1166,7
740;985,3;-0,0;235,3;750,0
745;523,1;-0,0;189,7;333,3
750;131,4;-0,0;131,4;0,0
755;214,7;-0,0;131,4;83,3
760;269,7;-0,0;103,0;166,7
765;353,0;-0,0;103,0;250,0
770;435,6;-0,0;102,2;333,3
775;452,1;-0,0;118,8;333,3
780;434,8;-0,0;101,5;333,3
785;486,8;-0,0;70,2;416,7
790;711,8;-0,0;128,5;583,3
795;859,9;-0,0;165,1;694,8
800;1074,1;-0,0;212,6;861,5
805;1134,2;-0,0;270,9;863,2
810;1073,2;-0,0;293,3;779,9
815;903,1;-0,0;236,4;666,7
820;719,0;-0,0;219,0;500,0
825;682,4;-0,0;182,4;500,0
830;731,6;-0,0;148,2;583,3
835;925,2;-0,0;175,2;750,0
840;1104,0;-0,0;151,5;952,6
845;1288,9;-0,0;169,6;1119,2
850;1312,5;-0,0;172,4;1140,2
855;1229,2;-0,0;172,4;1056,8
860;1284,0;-0,0;200,6;1083,3
865;1434,5;-0,0;184,5;1250,0
870;1649,9;-0,0;149,9;1500,0
875;2053,9;-0,0;102,6;1951,4
880;2317,4;-0,0;70,6;2246,8
885;2336,9;-0,0;41,5;2295,5
890;2198,7;-0,0;41,5;2157,3
895;1792,1;-0,0;58,3;1733,8
900;1213,0;-0,0;53,2;1159,8
905;832,3;-0,0;82,3;750,0
910;667,7;-0,0;84,4;583,3
915;584,4;-0,0;84,4;500,0
920;667,7;-0,0;84,4;583,3
925;751,0;-0,0;84,4;666,7
930;1006,2;-0,0;89,5;916,7
935;1381,2;-0,0;89,5;1291,7
940;1678,4;-0,0;131,6;1546,7
945;1945,4;-0,0;165,5;1779,9
950;2065,4;-0,0;202,2;1863,2
