Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
0;2024-01-01 00:00:00;0,0;0;0,0;0,0;0,0;p_max;51350,0;0,998320738874895
5;2024-01-01 00:05:00;1057,815431;1100;100,0;0,0;957,815431;p_max;51350,0;0,998320738874895
10;2024-01-01 00:10:00;1034,4815520000002;1100;100,0;0,0;934,4815520000001;p_max;51350,0;0,998320738874895
15;2024-01-01 00:15:00;2155,982986;2300;300,0;0,0;1855,982986;p_max;51350,0;0,998320738874895
20;2024-01-01 00:20:00;2093,607512999999;2300;300,0;0,0;1793,607512999999;p_max;51350,0;0,998320738874895
25;2024-01-01 00:25:00;1977,8254000000006;2300;300,0;0,0;1677,8254000000006;p_max;51350,0;0,998320738874895
30;2024-01-01 00:30:00;1773,527835176801;2400;400,0;0,0;1373,527835176801;p_max;51350,0;0,998320738874895
35;2024-01-01 00:35:00;1030,586501;2400;400,0;0,0;630,586501;p_max;51350,0;0,998320738874895
40;2024-01-01 00:40:00;950,4973088159418;2500;500,0;0,0;450,4973088159418;p_max;51350,0;0,998320738874895
45;2024-01-01 00:45:00;500,0;2500;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
50;2024-01-01 00:50:00;500,0;1500;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
55;2024-01-01 00:55:00;600,0;1600;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
60;2024-01-01 01:00:00;600,0;600;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
65;2024-01-01 01:05:00;600,0;600;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
70;2024-01-01 01:10:00;600,0;600;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
75;2024-01-01 01:15:00;700,0;700;700,0;0,0;0,0;p_max;51350,0;0,998320738874895
80;2024-01-01 01:20:00;800,0;800;800,0;0,0;0,0;p_max;51350,0;0,998320738874895
