Zeit;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie
0;0,0;0;0,0;0,0;0,0;p_max
5;0,0;0;0,0;0,0;0,0;p_max
10;140,0;140;140,0;0,0;0,0;p_max
15;140,0;140;140,0;0,0;0,0;p_max
20;140,0;140;140,0;0,0;0,0;p_max
25;140,0;140;140,0;0,0;0,0;p_max
30;140,0;140;140,0;0,0;0,0;p_max
35;140,0;140;140,0;0,0;0,0;p_max
40;280,0;280;280,0;0,0;0,0;p_max
45;280,0;280;280,0;0,0;0,0;p_max
50;420,0;420;420,0;0,0;0,0;p_max
55;420,0;420;420,0;0,0;0,0;p_max
60;420,0;420;420,0;0,0;0,0;p_max
65;420,0;420;420,0;0,0;0,0;p_max
70;420,0;420;420,0;0,0;0,0;p_max
75;420,0;420;420,0;0,0;0,0;p_max
80;420,0;420;420,0;0,0;0,0;p_max
85;420,0;420;420,0;0,0;0,0;p_max
90;420,0;420;420,0;0,0;0,0;p_max
95;420,0;420;420,0;0,0;0,0;p_max
100;420,0;420;420,0;0,0;0,0;p_max
105;420,0;420;420,0;0,0;0,0;p_max
110;420,0;420;420,0;0,0;0,0;p_max
115;420,0;420;420,0;0,0;0,0;p_max
120;420,0;420;420,0;0,0;0,0;p_max
125;420,0;420;420,0;0,0;0,0;p_max
130;420,0;420;420,0;0,0;0,0;p_max
135;420,0;420;420,0;0,0;0,0;p_max
140;420,0;420;420,0;0,0;0,0;p_max
145;420,0;420;420,0;0,0;0,0;p_max
150;420,0;420;420,0;0,0;0,0;p_max
155;420,0;420;420,0;0,0;0,0;p_max
160;420,0;420;420,0;0,0;0,0;p_max
165;420,0;420;420,0;0,0;0,0;p_max
170;420,0;420;420,0;0,0;0,0;p_max
175;420,0;420;420,0;0,0;0,0;p_max
180;420,0;420;420,0;0,0;0,0;p_max
185;420,0;420;420,0;0,0;0,0;p_max
190;420,0;420;420,0;0,0;0,0;p_max
195;420,0;420;420,0;0,0;0,0;p_max
200;420,0;420;420,0;0,0;0,0;p_max
205;420,0;420;420,0;0,0;0,0;p_max
