Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
0;2024-01-01 00:00:00;0,0;0;0,0;0,0;0,0;p_max;4590,0;1,0
5;2024-01-01 00:05:00;0,0;0;0,0;0,0;0,0;p_max;4590,0;1,0
10;2024-01-01 00:10:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
15;2024-01-01 00:15:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
20;2024-01-01 00:20:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
25;2024-01-01 00:25:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
30;2024-01-01 00:30:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
35;2024-01-01 00:35:00;100,0;100;100,0;0,0;0,0;p_max;4590,0;1,0
40;2024-01-01 00:40:00;200,0;200;200,0;0,0;0,0;p_max;4590,0;1,0
45;2024-01-01 00:45:00;200,0;200;200,0;0,0;0,0;p_max;4590,0;1,0
50;2024-01-01 00:50:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
55;2024-01-01 00:55:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
60;2024-01-01 01:00:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
65;2024-01-01 01:05:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
70;2024-01-01 01:10:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
75;2024-01-01 01:15:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
80;2024-01-01 01:20:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
85;2024-01-01 01:25:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
90;2024-01-01 01:30:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
95;2024-01-01 01:35:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
100;2024-01-01 01:40:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
105;2024-01-01 01:45:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
110;2024-01-01 01:50:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
115;2024-01-01 01:55:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
120;2024-01-01 02:00:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
125;2024-01-01 02:05:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
130;2024-01-01 02:10:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
135;2024-01-01 02:15:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
140;2024-01-01 02:20:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
145;2024-01-01 02:25:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
150;2024-01-01 02:30:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
155;2024-01-01 02:35:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
160;2024-01-01 02:40:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
165;2024-01-01 02:45:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
170;2024-01-01 02:50:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
175;2024-01-01 02:55:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
180;2024-01-01 03:00:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
185;2024-01-01 03:05:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
190;2024-01-01 03:10:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
195;2024-01-01 03:15:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
200;2024-01-01 03:20:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
205;2024-01-01 03:25:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
210;2024-01-01 03:30:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
215;2024-01-01 03:35:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
220;2024-01-01 03:40:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
225;2024-01-01 03:45:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
230;2024-01-01 03:50:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
235;2024-01-01 03:55:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
240;2024-01-01 04:00:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
245;2024-01-01 04:05:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
250;2024-01-01 04:10:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
255;2024-01-01 04:15:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
260;2024-01-01 04:20:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
265;2024-01-01 04:25:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
270;2024-01-01 04:30:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
275;2024-01-01 04:35:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
280;2024-01-01 04:40:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
285;2024-01-01 04:45:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
290;2024-01-01 04:50:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
295;2024-01-01 04:55:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
300;2024-01-01 05:00:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
305;2024-01-01 05:05:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
310;2024-01-01 05:10:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
315;2024-01-01 05:15:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
320;2024-01-01 05:20:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
325;2024-01-01 05:25:00;300,0;300;300,0;0,0;0,0;p_max;4590,0;1,0
