Zeit;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie
0;0,0;0;0,0;0,0;0,0;p_max
5;0,0;0;0,0;0,0;0,0;p_max
10;0,0;0;0,0;0,0;0,0;p_max
15;0,0;0;0,0;0,0;0,0;p_max
20;100,0;100;100,0;0,0;0,0;p_max
25;100,0;100;100,0;0,0;0,0;p_max
30;100,0;100;100,0;0,0;0,0;p_max
35;100,0;100;100,0;0,0;0,0;p_max
40;100,0;100;100,0;0,0;0,0;p_max
45;200,0;200;200,0;0,0;0,0;p_max
50;200,0;200;200,0;0,0;0,0;p_max
55;200,0;200;200,0;0,0;0,0;p_max
60;300,0;300;300,0;0,0;0,0;p_max
65;300,0;300;300,0;0,0;0,0;p_max
70;300,0;300;300,0;0,0;0,0;p_max
75;400,0;400;400,0;0,0;0,0;p_max
80;500,0;500;500,0;0,0;0,0;p_max
85;600,0;600;600,0;0,0;0,0;p_max
90;600,0;600;600,0;0,0;0,0;p_max
95;600,0;600;600,0;0,0;0,0;p_max
100;600,0;600;600,0;0,0;0,0;p_max
105;600,0;600;600,0;0,0;0,0;p_max
110;600,0;600;600,0;0,0;0,0;p_max
115;700,0;700;700,0;0,0;0,0;p_max
120;800,0;800;800,0;0,0;0,0;p_max
125;800,0;800;800,0;0,0;0,0;p_max
130;800,0;800;800,0;0,0;0,0;p_max
135;800,0;800;800,0;0,0;0,0;p_max
140;800,0;800;800,0;0,0;0,0;p_max
145;800,0;800;800,0;0,0;0,0;p_max
150;800,0;800;800,0;0,0;0,0;p_max
155;800,0;800;800,0;0,0;0,0;p_max
160;800,0;800;800,0;0,0;0,0;p_max
165;800,0;800;800,0;0,0;0,0;p_max
170;800,0;800;800,0;0,0;0,0;p_max
175;800,0;800;800,0;0,0;0,0;p_max
180;800,0;800;800,0;0,0;0,0;p_max
185;800,0;800;800,0;0,0;0,0;p_max
190;800,0;800;800,0;0,0;0,0;p_max
195;800,0;800;800,0;0,0;0,0;p_max
200;800,0;800;800,0;0,0;0,0;p_max
205;800,0;800;800,0;0,0;0,0;p_max
