;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
0;1;1;55;1;Nachtlader;720;1000;0,2272820822527561;540;NCS;2021-01-01 00:55:00;55;1
19;1;1;925;20;Nachtlader;720;1000;0,2989502905827536;540;NCS;2021-01-01 15:25:00;925;1
21;1;1;1075;22;Nachtlader;720;1000;0,2844215577252512;540;NCS;2021-01-01 17:55:00;1075;1
23;1;1;1125;24;Nachtlader;720;1000;0,3735819407825038;540;NCS;2021-01-01 18:45:00;1125;1
28;1;1;1150;29;Nachtlader;720;1000;0,3291102277086097;540;NCS;2021-01-01 19:10:00;1150;1
29;1;1;1155;30;Nachtlader;840;1000;0,221021562094146;540;NCS;2021-01-01 19:15:00;1155;1
32;1;1;1185;33;Nachtlader;840;1000;0,3497132947852186;540;NCS;2021-01-01 19:45:00;1185;1
33;1;1;1190;34;Nachtlader;840;1000;0,3074037917790355;540;NCS;2021-01-01 19:50:00;1190;1
41;1;1;1330;42;Nachtlader;960;1000;0,1289904261062381;540;NCS;2021-01-01 22:10:00;1330;1
42;1;1;1335;43;Nachtlader;960;1000;0,2869344153798229;540;NCS;2021-01-01 22:15:00;1335;1
43;1;1;1350;44;Nachtlader;720;1000;0,2298684483831301;540;NCS;2021-01-01 22:30:00;1350;1
44;1;1;1350;45;Nachtlader;960;1000;0,1856006949943728;540;NCS;2021-01-01 22:30:00;1350;1
45;1;1;1375;46;Nachtlader;720;1000;0,2766240759128834;540;NCS;2021-01-01 22:55:00;1375;1
67;1;2;965;68;Nachtlader;840;1000;0,3454560281992347;540;NCS;2021-01-02 16:05:00;2405;1
68;1;2;970;69;Nachtlader;960;1000;0,351401445339834;540;NCS;2021-01-02 16:10:00;2410;1
72;1;2;1015;73;Nachtlader;960;1000;0,3194659304727474;540;NCS;2021-01-02 16:55:00;2455;1
79;1;2;1115;80;Nachtlader;960;1000;0,2216985493372185;540;NCS;2021-01-02 18:35:00;2555;1
81;1;2;1130;82;Nachtlader;960;1000;0,2423183688528987;540;NCS;2021-01-02 18:50:00;2570;1
83;1;2;1170;84;Nachtlader;600;1000;0,2809289269415154;540;NCS;2021-01-02 19:30:00;2610;1
84;1;2;1190;85;Nachtlader;960;1000;0,2671032589374399;540;NCS;2021-01-02 19:50:00;2630;1
85;1;2;1215;86;Nachtlader;840;1000;0,1659000499878099;540;NCS;2021-01-02 20:15:00;2655;1
86;1;2;1240;87;Nachtlader;960;1000;0,2931933754515406;540;NCS;2021-01-02 20:40:00;2680;1
88;1;2;1275;89;Nachtlader;960;1000;0,2824031481990536;540;NCS;2021-01-02 21:15:00;2715;1
90;1;2;1305;91;Nachtlader;960;1000;0,3080144637160208;540;NCS;2021-01-02 21:45:00;2745;1
91;1;2;1310;92;Nachtlader;600;1000;0,2052381282822525;540;NCS;2021-01-02 21:50:00;2750;1
95;1;2;1345;96;Nachtlader;960;1000;0,1909990313703071;540;NCS;2021-01-02 22:25:00;2785;1
97;1;2;1380;98;Nachtlader;840;1000;0,2528059593349946;540;NCS;2021-01-02 23:00:00;2820;1
98;1;3;160;99;Nachtlader;840;1000;0,2099057764647471;540;NCS;2021-01-03 02:40:00;3040;1
116;1;3;905;117;Nachtlader;960;1000;0,4109720118580713;540;NCS;2021-01-03 15:05:00;3785;1
117;1;3;935;118;Nachtlader;960;1000;0,2551675428170383;540;NCS;2021-01-03 15:35:00;3815;1
118;1;3;960;119;Nachtlader;960;1000;0,2950627275180829;540;NCS;2021-01-03 16:00:00;3840;1
119;1;3;975;120;Nachtlader;960;1000;0,2438213612229995;540;NCS;2021-01-03 16:15:00;3855;1
