;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
761;2;1;5;2;Nachtlader;720;1000;0,243747923570706;540;NCS;2021-01-01 00:05:00;5;1
763;2;1;15;4;Nachtlader;720;1000;0,2446887324709824;540;NCS;2021-01-01 00:15:00;15;1
764;2;1;15;5;Nachtlader;960;1000;0,1435334799161072;540;NCS;2021-01-01 00:15:00;15;1
765;2;1;30;6;Nachtlader;600;1000;0,1331496353930441;540;NCS;2021-01-01 00:30:00;30;1
766;2;1;40;7;Nachtlader;720;1000;0,1720853654282972;540;NCS;2021-01-01 00:40:00;40;1
767;2;1;55;8;Nachtlader;840;1000;0,1519152898550098;540;NCS;2021-01-01 00:55:00;55;1
768;2;1;75;9;Nachtlader;840;1000;0,2333694782611316;540;NCS;2021-01-01 01:15:00;75;1
769;2;1;80;10;Nachtlader;720;1000;0,1822383035989172;540;NCS;2021-01-01 01:20:00;80;1
770;2;1;125;11;Nachtlader;840;1000;0,1063487530745977;540;NCS;2021-01-01 02:05:00;125;1
771;2;1;245;12;Nachtlader;960;1000;0,2649486474694015;540;NCS;2021-01-01 04:05:00;245;1
916;2;1;855;157;Nachtlader;960;1000;0,3902636014904191;540;NCS;2021-01-01 14:15:00;855;1
918;2;1;860;159;Nachtlader;840;1000;0,4542686266958141;540;NCS;2021-01-01 14:20:00;860;1
921;2;1;865;162;Nachtlader;960;1000;0,2767835873643339;540;NCS;2021-01-01 14:25:00;865;1
924;2;1;880;165;Nachtlader;840;1000;0,3275148398853547;540;NCS;2021-01-01 14:40:00;880;1
930;2;1;885;171;Nachtlader;960;1000;0,3470510041953907;540;NCS;2021-01-01 14:45:00;885;1
940;2;1;925;181;Nachtlader;720;1000;0,3802312290275851;540;NCS;2021-01-01 15:25:00;925;1
946;2;1;945;187;Nachtlader;840;1000;0,3567693911080278;540;NCS;2021-01-01 15:45:00;945;1
953;2;1;975;194;Nachtlader;720;1000;0,2604982178188215;540;NCS;2021-01-01 16:15:00;975;1
958;2;1;995;199;Nachtlader;960;1000;0,2888413151131504;540;NCS;2021-01-01 16:35:00;995;1
962;2;1;1010;203;Nachtlader;720;1000;0,2684926122033532;540;NCS;2021-01-01 16:50:00;1010;1
966;2;1;1015;207;Nachtlader;840;1000;0,3500314946759377;540;NCS;2021-01-01 16:55:00;1015;1
969;2;1;1030;210;Nachtlader;720;1000;0,2436925228542452;540;NCS;2021-01-01 17:10:00;1030;1
970;2;1;1030;211;Nachtlader;960;1000;0,3063842440232205;540;NCS;2021-01-01 17:10:00;1030;1
975;2;1;1040;216;Nachtlader;960;1000;0,2126289735993673;540;NCS;2021-01-01 17:20:00;1040;1
981;2;1;1050;222;Nachtlader;600;1000;0,3388438769977936;540;NCS;2021-01-01 17:30:00;1050;1
985;2;1;1055;226;Nachtlader;840;1000;0,3763633542336309;540;NCS;2021-01-01 17:35:00;1055;1
986;2;1;1060;227;Nachtlader;960;1000;0,2165947224050543;540;NCS;2021-01-01 17:40:00;1060;1
987;2;1;1065;228;Nachtlader;840;1000;0,4009262218997766;540;NCS;2021-01-01 17:45:00;1065;1
989;2;1;1070;230;Nachtlader;720;1000;0,304244914156041;540;NCS;2021-01-01 17:50:00;1070;1
990;2;1;1070;231;Nachtlader;840;1000;0,2705041068572323;540;NCS;2021-01-01 17:50:00;1070;1
991;2;1;1070;232;Nachtlader;960;1000;0,3194606531854978;540;NCS;2021-01-01 17:50:00;1070;1
995;2;1;1075;236;Nachtlader;960;1000;0,2225102600300439;540;NCS;2021-01-01 17:55:00;1075;1
996;2;1;1075;237;Nachtlader;840;1000;0,2429107846459604;540;NCS;2021-01-01 17:55:00;1075;1
997;2;1;1075;238;Nachtlader;960;1000;0,2018762892144169;540;NCS;2021-01-01 17:55:00;1075;1
998;2;1;1075;239;Nachtlader;840;1000;0,3183703753775518;540;NCS;2021-01-01 17:55:00;1075;1
999;2;1;1075;240;Nachtlader;720;1000;0,2928214422095157;540;NCS;2021-01-01 17:55:00;1075;1
1001;2;1;1080;242;Nachtlader;960;1000;0,2684542654434431;540;NCS;2021-01-01 18:00:00;1080;1
1002;2;1;1080;243;Nachtlader;840;1000;0,2405825274072792;540;NCS;2021-01-01 18:00:00;1080;1
1004;2;1;1085;245;Nachtlader;960;1000;0,2077464318450234;540;NCS;2021-01-01 18:05:00;1085;1
1008;2;1;1095;249;Nachtlader;960;1000;0,2338508361049069;540;NCS;2021-01-01 18:15:00;1095;1
1009;2;1;1095;250;Nachtlader;960;1000;0,3318717844922116;540;NCS;2021-01-01 18:15:00;1095;1
1010;2;1;1095;251;Nachtlader;840;1000;0,2315853170143287;540;NCS;2021-01-01 18:15:00;1095;1
1011;2;1;1095;252;Nachtlader;960;1000;0,2246413137373243;540;NCS;2021-01-01 18:15:00;1095;1
1016;2;1;1105;257;Nachtlader;720;1000;0,2525613750644938;540;NCS;2021-01-01 18:25:00;1105;1
1018;2;1;1110;259;Nachtlader;960;1000;0,3719576887746518;540;NCS;2021-01-01 18:30:00;1110;1
1022;2;1;1120;263;Nachtlader;960;1000;0,2572849897586109;540;NCS;2021-01-01 18:40:00;1120;1
1023;2;1;1120;264;Nachtlader;960;1000;0,3360367824097692;540;NCS;2021-01-01 18:40:00;1120;1
1024;2;1;1120;265;Nachtlader;960;1000;0,2462766747410696;540;NCS;2021-01-01 18:40:00;1120;1
1027;2;1;1130;268;Nachtlader;840;1000;0,3493111195812163;540;NCS;2021-01-01 18:50:00;1130;1
1033;2;1;1140;274;Nachtlader;600;1000;0,3415075318925207;540;NCS;2021-01-01 19:00:00;1140;1
1034;2;1;1140;275;Nachtlader;600;1000;0,3415629090386893;540;NCS;2021-01-01 19:00:00;1140;1
1035;2;1;1140;276;Nachtlader;600;1000;0,1950069778088004;540;NCS;2021-01-01 19:00:00;1140;1
1038;2;1;1145;279;Nachtlader;720;1000;0,2900742379499543;540;NCS;2021-01-01 19:05:00;1145;1
1039;2;1;1145;280;Nachtlader;960;1000;0,2877521928535126;540;NCS;2021-01-01 19:05:00;1145;1
1045;2;1;1150;286;Nachtlader;960;1000;0,3090347429048676;540;NCS;2021-01-01 19:10:00;1150;1
