;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;SOC_Target;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
1059;2;1;5;1;Nachtlader;840;1200;0,1543909118796397;1,0;540;NCS;2021-01-01 00:05:00;5;1
1060;2;1;20;2;Nachtlader;960;1200;0,2574743916298546;1,0;540;NCS;2021-01-01 00:20:00;20;1
1061;2;1;25;3;Nachtlader;840;1200;0,1163197440009676;1,0;540;NCS;2021-01-01 00:25:00;25;1
1062;2;1;25;4;Nachtlader;960;1200;0,2457556108901295;1,0;540;NCS;2021-01-01 00:25:00;25;1
1063;2;1;35;5;Nachtlader;960;1200;0,1631546302498992;1,0;540;NCS;2021-01-01 00:35:00;35;1
1064;2;1;45;6;Nachtlader;960;1200;0,2207057613002242;1,0;540;NCS;2021-01-01 00:45:00;45;1
1065;2;1;50;7;Nachtlader;720;750;0,2262750652096502;1,0;540;NCS;2021-01-01 00:50:00;50;1
1066;2;1;75;8;Nachtlader;840;1200;0,1543997210688712;1,0;540;NCS;2021-01-01 01:15:00;75;1
1067;2;1;80;9;Nachtlader;840;1200;0,2176704441966306;1,0;540;NCS;2021-01-01 01:20:00;80;1
1068;2;1;80;10;Nachtlader;960;1200;0,2779826752725725;1,0;540;NCS;2021-01-01 01:20:00;80;1
1069;2;1;85;11;Nachtlader;960;1200;0,1996259887096085;1,0;540;NCS;2021-01-01 01:25:00;85;1
1070;2;1;120;12;Nachtlader;840;1200;0,1078783667385638;1,0;540;NCS;2021-01-01 02:00:00;120;1
1071;2;1;150;13;Nachtlader;960;1200;0,1069345408452132;1,0;540;NCS;2021-01-01 02:30:00;150;1
1072;2;1;200;14;Nachtlader;960;1200;0,2627446687444454;1,0;540;NCS;2021-01-01 03:20:00;200;1
1215;2;1;930;157;Nachtlader;840;1200;0,3527701120626493;1,0;540;NCS;2021-01-01 15:30:00;930;1
1220;2;1;935;162;Nachtlader;960;1200;0,4261137178050331;1,0;540;NCS;2021-01-01 15:35:00;935;1
1230;2;1;980;172;Nachtlader;600;750;0,3427175367745225;1,0;540;NCS;2021-01-01 16:20:00;980;1
1232;2;1;985;174;Nachtlader;960;1200;0,3198982140214378;1,0;540;NCS;2021-01-01 16:25:00;985;1
1237;2;1;995;179;Nachtlader;960;1200;0,2214061437690765;1,0;540;NCS;2021-01-01 16:35:00;995;1
1238;2;1;1005;180;Nachtlader;720;750;0,4144303110201231;1,0;540;NCS;2021-01-01 16:45:00;1005;0
1239;2;1;1005;181;Nachtlader;960;1200;0,334298501645866;1,0;540;NCS;2021-01-01 16:45:00;1005;0
1240;2;1;1005;182;Nachtlader;960;1200;0,3936267237242304;1,0;540;NCS;2021-01-01 16:45:00;1005;0
1242;2;1;1010;184;Nachtlader;840;1200;0,2360837795320961;1,0;540;NCS;2021-01-01 16:50:00;1010;0
1246;2;1;1025;188;Nachtlader;720;750;0,2995542968683637;1,0;540;NCS;2021-01-01 17:05:00;1025;0
