Cluster;Wochentag;Ladetype;Anzahl
1;1;Nachtlader;51
1;2;Nachtlader;58
1;3;Nachtlader;58
1;4;Nachtlader;55
1;5;Nachtlader;46
1;6;Nachtlader;15
1;7;Nachtlader;4
1;1;Schnelllader;139
1;2;Schnelllader;155
1;3;Schnelllader;155
1;4;Schnelllader;149
1;5;Schnelllader;123
1;6;Schnelllader;40
1;7;Schnelllader;11
2;1;Nachtlader;137
2;2;Nachtlader;159
2;3;Nachtlader;161
2;4;Nachtlader;157
2;5;Nachtlader;134
2;6;Nachtlader;54
2;7;Nachtlader;12
2;1;Schnelllader;243
2;2;Schnelllader;281
2;3;Schnelllader;280
2;4;Schnelllader;270
2;5;Schnelllader;226
2;6;Schnelllader;88
2;7;Schnelllader;20
3;1;Nachtlader;201
3;2;Nachtlader;231
3;3;Nachtlader;232
3;4;Nachtlader;228
3;5;Nachtlader;194
3;6;Nachtlader;94
3;7;Nachtlader;19
3;1;Schnelllader;477
3;2;Schnelllader;539
3;3;Schnelllader;531
3;4;Schnelllader;508
3;5;Schnelllader;419
3;6;Schnelllader;188
3;7;Schnelllader;42
